Country,launched_at,Categories,Prct_goal
USA,16/1/27,music,6.13
USA,14/8/19,photography,2.15
USA,14/2/03,music,110.07
USA,16/7/05,film and video,19.76
USA,14/7/29,film and video,0
USA,17/4/24,food,0.05
USA,14/8/25,technology,0
USA,13/11/04,art,0
USA,14/8/07,technology,0
USA,13/8/19,publishing,136.67
USA,13/3/19,music,0.3
USA,14/10/12,art,0
USA,15/9/04,art,7.09
USA,15/3/19,publishing,1
USA,14/12/16,technology,1.51
USA,17/2/28,design,10.13
USA,12/2/01,music,173.75
USA,13/4/01,publishing,100.67
USA,15/7/06,technology,0
USA,13/5/03,technology,28.87
USA,16/10/15,film and video,103.51
USA,14/1/28,art,1
USA,15/3/02,food,0
USA,15/10/03,music,100.05
USA,16/10/05,music,7.33
USA,14/9/02,fashion,37.75
USA,12/7/25,art,5.5
USA,16/10/28,technology,10.86
USA,14/4/15,publishing,127.5
USA,14/10/21,publishing,370.5
USA,16/10/26,technology,0
USA,15/3/04,technology,294.03
USA,15/5/27,publishing,106.55
USA,15/1/21,music,0.03
USA,9/9/03,publishing,0
USA,15/6/03,food,0
USA,17/2/04,games,56.25
USA,16/2/16,art,0.25
USA,12/7/20,art,0.49
USA,12/11/14,music,2.61
USA,12/6/22,art,0
USA,12/9/11,music,0
USA,15/3/25,theater,140
USA,11/12/16,music,4
USA,15/2/05,technology,0
USA,15/6/17,publishing,0
USA,12/6/11,music,3.33
USA,15/4/03,technology,0
USA,16/7/25,design,54.9
USA,14/7/29,publishing,0.83
USA,16/10/28,design,127.35
USA,11/7/08,publishing,0
USA,14/8/04,publishing,1.83
USA,12/9/18,publishing,0
USA,16/9/19,publishing,0
USA,16/2/10,photography,0
USA,13/11/17,publishing,10
USA,16/2/19,food,0.12
USA,15/3/23,film and video,0
USA,17/9/11,technology,5.55
USA,14/4/22,art,1
USA,13/11/14,art,12.4
USA,10/9/23,technology,0.12
USA,15/4/17,publishing,0
USA,17/7/05,fashion,1.09
USA,14/10/19,publishing,7.13
USA,17/9/11,technology,0.25
USA,14/10/16,theater,112.81
USA,17/5/16,games,191.09
USA,14/3/26,technology,36.95
USA,11/2/03,music,100
USA,17/2/14,film and video,103.12
USA,17/2/06,design,21.88
USA,17/4/01,design,4.73
USA,16/7/14,food,1.03
USA,12/10/05,technology,6.16
USA,12/8/14,music,100.25
USA,10/8/19,publishing,0
USA,13/8/31,design,906.24
USA,17/6/23,theater,103.2
USA,10/12/27,music,5
USA,14/3/20,publishing,1.87
USA,16/7/29,technology,0.01
USA,13/4/03,publishing,1.3
USA,15/4/08,music,0.04
USA,15/5/05,food,101.51
USA,14/7/09,publishing,157.39
USA,17/6/19,games,0.13
USA,12/5/08,publishing,0
USA,17/1/12,crafts,0
USA,17/5/28,fashion,0
USA,16/1/06,music,125.61
USA,17/8/26,music,14.8
USA,16/8/01,publishing,0
USA,16/11/19,design,91.64
USA,15/6/25,music,199
USA,16/7/16,crafts,2
USA,15/8/07,publishing,21.31
USA,13/9/23,publishing,1.91
USA,16/5/25,games,109.92
USA,15/4/06,technology,105.81
USA,13/6/18,music,117
USA,16/7/28,food,5.64
USA,12/2/08,publishing,14.56
USA,17/3/01,music,165.65
USA,16/6/02,food,136.2
USA,12/10/02,publishing,0
USA,16/9/26,food,8
USA,16/10/31,comics,142.67
USA,13/3/13,publishing,5.3
USA,14/8/10,art,1.39
USA,14/12/09,technology,0
USA,16/11/27,theater,27.5
USA,16/2/29,food,14.53
USA,14/5/13,games,0.4
USA,16/1/06,technology,0
USA,14/9/25,technology,858.76
USA,17/9/01,design,0
USA,14/8/15,publishing,4.91
USA,10/1/16,film and video,101.19
USA,15/9/14,technology,102.21
USA,15/2/23,film and video,0
USA,13/2/26,music,5
USA,15/4/18,music,0.85
USA,12/9/16,technology,1097
USA,12/7/26,music,14.67
USA,15/8/03,music,13.4
USA,17/4/09,film and video,105.55
USA,16/7/10,food,0.06
USA,15/9/24,technology,1
USA,14/6/13,games,0.55
USA,12/10/02,publishing,1.5
USA,12/1/13,music,133.6
USA,12/4/30,publishing,4.28
USA,15/3/12,theater,14.66
USA,14/5/07,publishing,2.27
USA,14/9/23,music,1.02
USA,15/11/24,technology,0
USA,15/10/16,art,111.23
USA,14/9/26,music,162.52
USA,14/1/24,music,101.13
USA,17/8/07,publishing,9.2
USA,14/5/29,technology,26.31
USA,13/2/09,technology,0
USA,10/2/13,music,48.93
USA,16/12/18,film and video,104.25
USA,13/10/02,music,0.02
USA,14/8/27,technology,0.19
USA,15/11/17,technology,307.7
USA,12/5/07,design,2165.97
USA,13/4/08,music,9
USA,10/8/25,art,9.43
USA,16/11/06,publishing,114.43
USA,17/4/11,technology,0
USA,15/2/17,publishing,0.24
USA,17/7/14,art,114.56
USA,17/2/15,fashion,0
USA,11/9/22,music,100
USA,14/5/17,music,6.67
USA,13/8/24,music,105.7
USA,13/6/11,technology,39.58
USA,16/8/08,comics,0
USA,16/1/27,games,0.51
USA,13/6/18,film and video,6.17
USA,15/3/04,music,1.82
USA,12/2/09,music,20.15
USA,17/5/21,film and video,17.75
USA,16/9/01,comics,182.32
USA,15/5/15,theater,0
USA,16/10/12,design,32.92
USA,14/7/29,music,8.46
USA,12/4/20,film and video,9.28
USA,16/3/31,publishing,8.5
USA,15/11/12,fashion,7
USA,14/10/20,technology,0.03
USA,16/5/24,publishing,100.8
USA,14/7/28,technology,2596
USA,14/8/27,publishing,15
USA,12/6/14,publishing,121
USA,16/5/19,publishing,13.33
USA,10/11/29,art,0.15
USA,15/12/29,technology,0
USA,15/1/27,theater,0.2
USA,14/10/22,publishing,4.65
USA,16/5/17,music,0.36
USA,15/9/03,art,233.33
USA,16/9/02,technology,41.8
USA,17/3/20,music,108.01
USA,15/12/28,technology,0.25
USA,16/8/01,film and video,156.47
USA,15/6/07,technology,0
USA,12/1/01,music,219.6
USA,12/4/04,music,5
USA,12/7/05,publishing,0
USA,15/6/27,publishing,0
USA,15/2/07,film and video,0
USA,15/3/23,technology,0
USA,15/3/23,technology,51.25
USA,14/10/14,music,0
USA,14/3/31,music,0
USA,14/12/01,games,460.67
USA,17/2/19,games,4.57
USA,15/3/23,music,0.01
USA,13/12/03,technology,260.04
USA,15/5/12,publishing,0
USA,13/7/03,music,107.84
USA,16/8/03,film and video,100.99
USA,17/1/06,dance,1
USA,14/9/23,design,101.65
USA,15/3/05,technology,0.9
USA,12/10/10,music,104.4
USA,13/2/11,music,110
USA,13/12/26,film and video,0
USA,15/3/18,publishing,0
USA,12/3/19,publishing,0
USA,11/6/06,film and video,0.76
USA,13/4/16,publishing,1.5
USA,10/12/02,music,0
USA,11/5/09,music,54.4
USA,16/6/06,art,1.39
USA,15/6/19,publishing,0
USA,17/3/10,crafts,412.33
USA,17/8/02,crafts,609.5
USA,15/5/15,food,0
USA,16/10/10,crafts,143.93
USA,17/1/05,crafts,938
USA,16/5/19,crafts,334.17
USA,17/8/22,games,69.97
USA,12/11/02,technology,114.9
USA,14/10/21,art,10.35
USA,17/5/29,music,113.6
USA,13/11/13,art,202.3
USA,14/7/02,publishing,0.51
USA,13/5/30,technology,4.99
USA,16/8/08,art,0.29
USA,16/6/15,publishing,124.76
USA,11/12/12,publishing,133.32
USA,12/1/24,music,219.26
USA,15/3/23,design,203.48
USA,16/9/17,food,127.59
USA,16/11/13,publishing,6.42
USA,17/8/15,design,0.1
USA,13/4/10,publishing,150.1
USA,15/3/01,publishing,30.95
USA,14/7/19,art,14
USA,17/1/16,art,139.41
USA,13/7/29,music,129.81
USA,15/5/26,technology,0.18
USA,17/7/13,theater,102.2
USA,15/10/18,technology,0.1
USA,16/6/23,fashion,5
USA,15/12/09,publishing,109.33
USA,16/5/31,games,250.38
USA,17/7/18,comics,41.83
USA,10/6/02,music,16
USA,14/8/22,publishing,9.44
USA,16/11/11,photography,5.35
USA,12/6/14,music,0
USA,17/2/19,art,39.23
USA,13/10/11,publishing,0
USA,15/5/07,technology,46.8
USA,15/12/04,technology,0.09
USA,15/11/10,technology,3.98
USA,17/7/13,technology,0.49
USA,17/5/19,fashion,0.03
