"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"1","acadia","louisiana",0,0,0,0,0,0
"2","ada","idaho",892,27.875,9,2125.013125,68000.42,590
"3","adair","missouri",3,1,0,58.3333333333333,175,0
"4","adams","colorado",1747,26.0746268656716,7,2283.43373134328,152990.06,200
"5","adams","mississippi",49,12.25,1,1527.9975,6111.99,24
"6","addison","vermont",452,30.1333333333333,10,2491.94066666667,37379.11,251
"7","aiken","south carolina",472,20.5217391304348,5,2498.58913043478,57467.55,145
"8","alachua","florida",5404,44.2950819672131,5,4688.33549180328,571976.93,231.5
"9","alamance","north carolina",15885,88.25,24,5880.06794444444,1058412.23,1400
"10","alameda","california",192333,180.424953095685,42,13726.5054409006,14632454.8,2748.665
"11","alamosa","colorado",103,9.36363636363636,2,1466.45454545455,16131,26
"12","albany","new york",6393,34.9344262295082,10,2103.68710382514,384974.74,550
"13","albany","wyoming",1756,76.3478260869565,18,6068.02652173913,139564.61,736
"14","albemarle","virginia",10133,77.9461538461538,34,6187.84230769231,804419.5,2500
"15","allegheny","pennsylvania",50494,70.8190743338008,15,7448.20058906031,5310567.02,685.99
"16","allen","indiana",3862,38.62,7.5,2086.3661,208636.61,316
"17","alpena","michigan",23,5.75,6,296.5,1186,265
"18","anderson","tennessee",16,4,3,352.75,1411,165.5
"19","anderson","texas",168,28,5,2810.83333333333,16865,199.5
"20","andrews","texas",2,0.666666666666667,0,100,300,0
"21","androscoggin","maine",512,24.3809523809524,4,1946.36904761905,40873.75,122
"22","angelina","texas",21,3.5,2,159.666666666667,958,52.5
"23","anne arundel","maryland",1545,29.7115384615385,4.5,1471.44019230769,76514.89,117.5
"24","anoka","minnesota",2020,91.8181818181818,7,8582.40909090909,188813,335
"25","arapahoe","colorado",12602,69.2417582417582,13.5,4397.53934065934,800352.16,451
"26","aroostook","maine",69,13.8,0,393.476,1967.38,0
"27","ashtabula","ohio",212,26.5,3.5,1659.68125,13277.45,628
"28","atchison","kansas",10,3.33333333333333,2,77,231,25
"29","atlantic","new jersey",818,43.0526315789474,16,3026.16473684211,57497.13,463
"30","augusta","virginia",552,14.5263157894737,6,955.926842105263,36325.22,227.5
"31","autauga","alabama",2,1,1,22.5,45,22.5
"32","baker","oregon",34,17,17,362,724,362
"33","baldwin","alabama",1809,82.2272727272727,60,5344.03818181818,117568.84,2058
"34","baldwin","georgia",14,2.8,2,37.4,187,25
"35","baltimore","maryland",4407,95.804347826087,16,4813.94695652174,221441.56,603.5
"36","baltimore city","maryland",41649,60.890350877193,14,3933.79874269006,2690718.34,717
"37","bannock","idaho",1582,105.466666666667,7,6262.53533333333,93938.03,310
"38","barnes","north dakota",17,17,17,1470,1470,1470
"39","barnstable","massachusetts",1110,35.8064516129032,20,4339.33516129032,134519.39,905
"40","barrow","georgia",715,238.333333333333,4,9373,28119,50
"41","barton","kansas",2,2,2,50,50,50
"42","bartow","georgia",34,5.66666666666667,5.5,317,1902,265
"43","baxter","arkansas",44,7.33333333333333,2.5,395.833333333333,2375,102.5
"44","bay","florida",0,0,0,0,0,0
"45","bay","michigan",457,25.3888888888889,5.5,1396.16666666667,25131,144
"46","beadle","south dakota",14,7,7,319.5,639,319.5
"47","beaufort","south carolina",258,14.3333333333333,2.5,1313.11111111111,23636,148
"48","beaver","pennsylvania",13,4.33333333333333,3,280.333333333333,841,285
"49","beaverhead","montana",133,26.6,7,2746,13730,2300
"50","bedford","tennessee",38,6.33333333333333,2.5,316.75,1900.5,85.5
"51","bee","texas",1,1,1,25,25,25
"52","belknap","new hampshire",218,24.2222222222222,9,2077.39777777778,18696.58,478
"53","bell","texas",298,11.92,1,608.9192,15222.98,35
"54","beltrami","minnesota",378,23.625,9,1446.3125,23141,500
"55","bennington","vermont",1442,60.0833333333333,25,2379.36833333333,57104.84,960
"56","benton","arkansas",871,18.9347826086957,9.5,2848.16152173913,131015.43,630.5
"57","benton","oregon",2523,58.6744186046512,5,5520.68720930233,237389.55,350
"58","benton","washington",683,24.3928571428571,2,1555.93214285714,43566.1,52.5
"59","bergen","new jersey",9282,77.35,18,7034.31475,844117.77,913.5
"60","berkeley","south carolina",100,20,12,1684.4,8422,532
"61","berkeley","west virginia",196,10.8888888888889,3,347.833333333333,6261,88.5
"62","berkshire","massachusetts",1774,63.3571428571429,14.5,9529.88357142857,266836.74,1141
"63","bernalillo","new mexico",22923,79.8710801393728,10,6466.66414634146,1855932.61,486
"64","berrien","michigan",40,20,20,2176,4352,2176
"65","bexar","texas",15243,32.6402569593148,3,2259.2403640257,1055065.25,94
