"City","Year","Average_Goal"
"Adelaide","X2014",4767
"Brisbane","X2014",11000
"Melbourne","X2014",57503
"Perth","X2014",1800
"Sydney","X2014",3033
"Adelaide","X2015",5000
"Brisbane","X2015",2750
"Melbourne","X2015",735
"Perth","X2015",20250
"Sydney","X2015",10281
"Adelaide","X2016",82333
"Brisbane","X2016",12500
"Melbourne","X2016",9031
"Perth","X2016",20738
"Sydney","X2016",979857
"Adelaide","X2017",32122
"Brisbane","X2017",89685
"Melbourne","X2017",50758
"Perth","X2017",17029
"Sydney","X2017",82018
